feature_value,shap_value,sample_index,feature_name,feature_chinese
6.0,197.87628820590675,6,Hour,小时
6.0,107.30287032132968,30,Hour,小时
6.0,138.62715380845592,54,Hour,小时
6.0,245.70347129642963,78,Hour,小时
6.0,254.88345902241767,102,Hour,小时
6.0,192.69882175333797,126,Hour,小时
6.0,209.94489147562533,150,Hour,小时
6.0,221.6439449063316,174,Hour,小时
6.0,77.67447861766442,198,Hour,小时
6.0,57.70182231357321,222,Hour,小时
6.0,244.92813007811085,246,Hour,小时
6.0,254.42451033296064,270,Hour,小时
6.0,171.14365528618916,294,Hour,小时
6.0,159.30279684090988,318,Hour,小时
6.0,76.57856156505645,342,Hour,小时
6.0,108.75111621458083,366,Hour,小时
6.0,104.99228261947631,390,Hour,小时
6.0,126.8826195043698,414,Hour,小时
6.0,163.03062261290847,438,Hour,小时
6.0,185.7216316566989,462,Hour,小时
6.0,151.7243658420071,486,Hour,小时
7.0,472.77648156318816,7,Hour,小时
7.0,319.27270825022833,31,Hour,小时
7.0,310.22576032465327,55,Hour,小时
7.0,493.1199856420234,79,Hour,小时
7.0,440.40730924354864,103,Hour,小时
7.0,411.89716808602213,127,Hour,小时
7.0,446.0537092612311,151,Hour,小时
7.0,469.6017202225328,175,Hour,小时
7.0,291.05317440466956,199,Hour,小时
7.0,228.1631985087879,223,Hour,小时
7.0,476.27453752472996,247,Hour,小时
7.0,486.8527753546834,271,Hour,小时
7.0,369.95232944278047,295,Hour,小时
7.0,336.4149959515594,319,Hour,小时
7.0,275.2973035320826,343,Hour,小时
7.0,281.1177100522071,367,Hour,小时
7.0,301.5228359559551,391,Hour,小时
7.0,299.0941359101981,415,Hour,小时
7.0,358.50612005123867,439,Hour,小时
7.0,457.97086544636636,463,Hour,小时
7.0,498.45926409438255,487,Hour,小时
8.0,523.0310958080739,8,Hour,小时
8.0,322.67372993508354,32,Hour,小时
8.0,316.29837425692006,56,Hour,小时
8.0,497.4173504396528,80,Hour,小时
8.0,465.1301015513763,104,Hour,小时
8.0,402.8893316407129,128,Hour,小时
8.0,458.1789395643398,152,Hour,小时
8.0,503.3795579598099,176,Hour,小时
8.0,304.007469136361,200,Hour,小时
8.0,240.08358734952287,224,Hour,小时
8.0,474.27680581232534,248,Hour,小时
8.0,488.6849469462782,272,Hour,小时
8.0,404.26071168065073,296,Hour,小时
8.0,332.9098742904421,320,Hour,小时
8.0,289.0039921821933,344,Hour,小时
